"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","340","3.021","19.1","25.0","30.3","12.1","6.2","3.8","3.2","0.3",".",".",".",".",".",".",".","."
"","125
001","21","3.571","47.6","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","240","3.067","19.2","27.5","26.7","12.5","8.3","3.3","1.7","0.8",".",".",".",".",".",".",".","."
"Contemporary Amer Society","Course Total","261","3.099","21.5","27.6","25.7","12.3","7.7","3.1","1.5","0.8",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","77","2.981","27.3","15.6","19.5","11.7","23.4",".","2.6",".",".",".",".",".",".",".",".","."
"","134
002","91","3.603","52.7","17.6","18.7","5.5","1.1",".",".","4.4",".",".",".",".",".",".",".","."
"","134
003","130","3.536","46.2","24.6","16.9","3.1","5.4",".",".","3.8",".",".",".",".",".",".",".","."
"","134
004","115","3.743","75.7","12.2","7.0","0.9","2.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","336","3.627","58.0","18.5","14.0","3.0","3.3","0.3","0.3","2.7",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","14","3.464","42.9","50.0",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","206","2.807","8.7","18.4","31.6","21.8","14.1","2.4","2.4",".",".",".",".",".",".",".",".","0.5"
"Population Problems","170
001","39","3.423","46.2","28.2","10.3","5.1","5.1","5.1",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","121","3.194","27.3","37.2","18.2","6.6","3.3","2.5","5.0",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","83","3.201","27.7","26.5","19.3","13.3","10.8",".","1.2",".",".",".",".",".",".",".",".","1.2"
"Gender & Work-Rural America","215
001","55","2.727","10.9","12.7","32.7","12.7","25.5","3.6","1.8",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","40","3.575","27.5","60.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","41","3.462","41.5","24.4","19.5","4.9","2.4","2.4",".","4.9",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","14","3.000","21.4","28.6","14.3","14.3","7.1",".","7.1",".",".",".",".",".",".",".","7.1","."
"Organizations and Society","250
001","31","3.500","35.5","35.5","16.1",".","6.5",".",".","6.5",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","39","3.013","17.9","35.9","17.9","17.9","2.6",".","7.7",".",".",".",".",".",".",".",".","."
"The Jews, States, & Citizenshp","258
001","15","3.423","20.0","33.3","33.3",".",".",".",".","6.7",".",".",".",".",".","6.7",".","."
"Africa: Introductory Survey","277
001","29","2.804","13.8","34.5","17.2","3.4","10.3","13.8","3.4","3.4",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327
001","17","3.286","35.3","11.8","17.6","11.8",".","5.9",".",".",".",".",".",".","5.9","11.8",".","."
"","357
001","15","3.567","53.3","13.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","18","3.139","33.3","33.3","11.1","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","357
003","18","3.528","55.6","27.8","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","004
357","23","3.764","69.6","21.7","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","357
006","17","3.118","17.6","35.3","29.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","357
007","20","3.150","25.0","30.0","25.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","357
008","17","3.382","47.1","17.6","29.4",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","357
009","19","3.368","47.4","26.3","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"","357
011","34","3.333","38.2","23.5","14.7","11.8","5.9","2.9",".",".",".",".",".",".",".",".",".","2.9"
"Meth-Sociological Inquiry","Course Total","181","3.376","43.1","25.4","16.6","7.2","2.8","1.1","3.3",".",".",".",".",".",".",".",".","0.6"
"","360
001","35","3.129","25.7","22.9","31.4","2.9","11.4","5.7",".",".",".",".",".",".",".",".",".","."
"","360
002","30","2.933","20.0","20.0","33.3","6.7","10.0","6.7","3.3",".",".",".",".",".",".",".",".","."
"","003
360","36","3.153","30.6","19.4","27.8","5.6","13.9",".","2.8",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","101","3.079","25.7","20.8","30.7","5.0","11.9","4.0","2.0",".",".",".",".",".",".",".",".","."
