"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","80","3.688","62.5","20.0","11.3","5.0","1.3",".",".",".",".",".",".",".",".",".",".","."
"542
Veterinary Ophthalmology","001","","81","3.656","55.6","27.2","9.9","3.7","2.5",".",".",".",".",".",".",".","1.2",".",".","."
"548
Diseases of Wildlife","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","81","3.364","23.5","37.0","32.1","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","81","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","81","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"642
Large Animal Surgery","001","","33","3.250","9.1",".",".",".",".","3.0",".","87.9",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"645
Small Animal Genrl Surgery","001","","34","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","24","4.000","54.2",".",".",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","30","3.500","16.7",".",".",".",".","3.3",".","80.0",".",".",".",".",".",".",".","."
"675","001","","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"675","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","32","4.000","15.6",".",".",".",".",".",".","84.4",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","27","4.000","59.3",".",".",".",".",".",".","40.7",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","14","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"775","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"812
Rsch Ethics&Career Development","001","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
