"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","173","3.406","47.4","17.9","17.9","6.4","5.8","1.2","1.7","1.2",".",".",".",".",".","0.6",".","."
"363
Develp: Adolescence-Old Age","001","","171","3.222","33.3","13.5","24.6","20.5","3.5","2.3",".","2.3",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","25","3.660","48.0","36.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","32","3.703","71.9","15.6","9.4",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","29","3.603","44.8","44.8","6.9",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"474","001","","30","3.367","30.0","26.7","30.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"474","002","","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","49","3.510","42.9","24.5","24.5","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","003","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501","033","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","48","3.946","93.8","4.2","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","48","3.745","64.6","20.8","10.4",".","2.1",".",".",".",".",".",".",".",".",".",".","2.1"
"517
Couple Relationships","001","","25","3.800","72.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
African American Families","001","","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","16","3.902","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","21","3.924","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","29","3.552","65.5","17.2",".","3.4","10.3","3.4",".",".",".",".",".",".",".",".",".","."
"664
Prosmr:Human Dev & Fam Studies","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.750","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Bridging Gap: Rsch & Action","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
