"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"425","001","","140","3.932","90.7","6.4","2.1",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"425","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacy Practice Experience I","Course Total","","141","3.933","90.8","6.4","2.1",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"440
Therpeutcs-PAs&Adv Prac Nur,I","001","","32","3.063","18.8","18.8","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Intro-Phm Prac Experience III","033","","134","3.892","84.3","11.2","3.7",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"550
Fluid & Electrolyte Therapy","001","","77","3.682","53.2","33.8","10.4","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"555
Pharmacotherapy I","001","","134","3.162","7.5","38.8","36.6","14.2","0.7","1.5",".",".",".",".",".",".","0.7",".",".","."
"612
Radiopharmaceuticals","001","","11","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"617
Hlth Sys Pharm Analysis & Inf","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Pharmacotherapy III","001","","132","3.140","10.6","31.1","37.9","16.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"664","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","3","***","","","","","","","","","","","","","","","",""
"670
Veterinary Therapeutics","001","","45","3.950","93.3","2.2","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"676
Seminar in Geriatrics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Seminars in Cardiology","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","26","3.947","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","003","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","004","","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","45","3.878","82.2","11.1","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","003","","26","3.904","92.3","3.8",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"741","004","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","51","3.912","90.2","5.9","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","003","","66","3.847","77.3","15.2","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","70","3.804","74.3","14.3","10.0","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"760","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
