"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","12","3.250",".","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","15","3.267","6.7","40.0","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","14","3.250",".","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","9","3.394","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","11","3.550","18.2","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Third Year Psychiatry","Course Total","","75","3.349","12.0","50.7","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".","1.3"
"910
Indep Rdg & Rsch-4th Yr Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924
Child Psych Clerk-Mendota","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"946","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
