"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","255","2.959","22.0","14.9","29.0","12.2","16.1","5.1","0.4",".","0.4",".",".",".",".",".",".","."
"Contemporary Topics","365
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610
001","59","3.195","20.3","18.6","44.1","13.6","3.4",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","24","3.174","25.0","12.5","33.3","20.8","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700
001","36","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci,Risk Mgmt & Ins II","930
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","4","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","410","3.108","30.0","15.4","28.3","10.7","10.7","3.2","0.2","1.2","0.2",".",".",".",".",".",".","."
