"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.947","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","18","3.111","11.1","5.6","77.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","19","3.263","10.5","31.6","57.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","18","3.278","27.8","16.7","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","16","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","71","3.254","15.5","25.4","53.5","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"924","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reproduct Med Clerkshp-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","4","***","","","","","","","","","","","","","","","",""
"927
ObGyn Inpatnt Clrk-LaCrosse","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","3.867","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
