"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"812","081","","25","3.400","24.0","32.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","25","3.580","40.0","36.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","27","3.407","29.6","25.9","40.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Primary Care Clrkshp","Course Total","","77","3.461","31.2","31.2","36.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"813","061","","22","3.405","31.8","18.2","40.9","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"813","062","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","063","","19","3.421","36.8","21.1","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"813","064","","15","3.679","46.7","33.3","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Integrated Cl Neurosci Clrkshp","Course Total","","65","3.476","36.9","23.1","32.3","4.6",".",".",".",".",".",".",".",".","3.1",".",".","."
"840","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"840","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"840","063","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","064","","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"840","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec 4th Yr Precept/Clrkshp","Course Total","","29","3.865","82.8","13.8",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"852","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"852","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Ashland","Course Total","","3","***","","","","","","","","","","","","","","","",""
"853","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"853","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Beaver Dam","Course Total","","2","***","","","","","","","","","","","","","","","",""
"854
Preceptorship-Beloit","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"855
Preceptorship-Blk Riv Falls","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"858","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"858","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Green Bay","Course Total","","2","***","","","","","","","","","","","","","","","",""
"859
Preceptorship-Janesville","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"862
Preceptorship-Marshfield","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"863
Preceptorship-Milwaukee","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"867
Preceptorship-Shawano","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"868
Preceptorship-Sheboygan","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"870","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"870","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Viroqua","Course Total","","4","***","","","","","","","","","","","","","","","",""
"871","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"871","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"871","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Wausau","Course Total","","3","***","","","","","","","","","","","","","","","",""
"873","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"873","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"873","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptor-Prairie du Sac","Course Total","","3","***","","","","","","","","","","","","","","","",""
"880
Preceptorship-Cross Plains","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
