"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","161","3.897","89.4","6.8","0.6",".","1.2","1.2",".","0.6",".",".",".",".",".",".",".","."
"","105
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","173","3.904","90.2","6.4","0.6",".","1.2","1.2",".","0.6",".",".",".",".",".",".",".","."
"","212
001","130","3.912","86.9","10.0","2.3",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"","212
002","24","3.604","33.3","54.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness I","Course Total","154","3.864","78.6","16.9","3.9",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"","219
001","130","",".",".",".",".",".",".",".",".",".","99.2","0.8",".",".",".",".","."
"","219
002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","154","",".",".",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
"","301
001","130","3.862","76.2","21.5","1.5",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"","301
002","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","154","3.857","74.7","23.4","1.3",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","63","3.698","49.2","41.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","125","3.636","39.2","49.6","10.4","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","148","3.689","48.0","42.6","8.8","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","56","3.964","94.6","3.6","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","77","3.974","96.1","2.6","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","132","3.428","24.2","43.9","25.0","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","23","3.587","39.1","43.5","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","155","3.452","26.5","43.9","23.2","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","433
001","131","3.889","79.4","19.1","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","433
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","154","3.903","81.8","16.9","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","65","3.854","86.2","9.2",".","1.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","590
020","20","3.725","65.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","33","3.939","97.0",".",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","51","3.922","90.2","7.8",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Adv Practicum for CNS","606
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","613
040","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
041","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","9","3.958","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614
020","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 389 of 410",""
