"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"683
Senior Honors Thesis Smr","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"685","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"685","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Research Internship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","001","","11","3.550","45.5","9.1","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"695","003","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","005","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","40","3.692","55.0","25.0","17.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"698","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.536","50.0","8.3","25.0",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"800
Poli Sci-Discipline&Profession","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"816
Empir Method Pol Inquiry: Qual","001","","22","3.810","59.1","36.4",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"818
Maximum Likelihood Estimation","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"825
Race & Politics in the U.S.","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"827
Interest Grps-Amer Politics","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"836
Formal Models in Political Sci","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Comparative Political Economy","001","","14","3.885","78.6","7.1","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"855
Pol&Cultr-Compartv Perspctv","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Challenges of Democratizatn","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"862
State&Society-Comprtv Perspctv","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"864
International Politicl Economy","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"874
Policy-Making Process","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 281 of 410",""
