"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"502
Air Pollution&Human Health","001","","17","3.471","35.3","23.5","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Intro to Biostats for Pop Hlth","001","","21","3.500","33.3","28.6","33.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","026","","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","035","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"650","049","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","50","3.871","82.0","12.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".","5.6",".",".",".","."
"717
Prin-Population Med&Epidemiol","001","","161","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"718
International Health Systems","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Public Hlth: Principles&Pract","001","","44","3.659","43.2","45.5","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"781","028","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"781","037","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"781","038","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Public Health Seminar","Course Total","","41","3.866","75.6","22.0","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
MPH Field Experience Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"788
Public Health Field Experience","001","","13","4.000","76.9",".",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"794
Biol Basis-Population Health","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","001","","26","3.904","84.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","76","3.783","64.5","27.6","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Adv Epidemiol: Etiol&Preventn","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Benefit-Cost Analysis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Quant Meth-Populatn Health II","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","004","","34","3.838","76.5","14.7","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","Course Total","","40","3.850","77.5","15.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 374 of 410",""
