"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"History-20th C Am Medicine","218
001","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","24","2.833","20.8","25.0","8.3","16.7","16.7","12.5",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","17","3.706","58.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509
001","9","3.500","22.2","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Med Hist of Sex & Sexuality","524
001","9","3.167","33.3","22.2","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Culture&Ethcs-Body Modificatns","526
001","21","3.024","19.0","28.6","14.3","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545
002","16","3.577","37.5","18.8","25.0",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Development of Pub Health-Amer","709
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture&Ethcs-Body Modificatns","726
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","890
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","121","3.305","37.2","28.1","13.2","9.9","5.0","4.1",".","2.5",".",".",".",".",".",".",".","."
