"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"614","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"614","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","","11","3.950","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"615","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"615","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac III","Course Total","","13","3.811","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"616","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"616","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac IV","Course Total","","2","***","","","","","","","","","","","","","","","",""
"660
Relaxation Strategies: Tools","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"672
Clinicl Educ-Nursing Pract","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"680","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"680","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar","Course Total","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"681","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","090","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Nursing Research I","001","","23","2.913","39.1",".","39.1",".","8.7",".","13.0",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","30","3.733","50.0","46.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","29","3.741","55.2","37.9","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","002","","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Family Process,Hlth&Illness","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Preventn&Mgmt-Hlth Probs I","040","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716","010","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716","020","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs II","Course Total","","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
