"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","168","2.703","14.9","12.5","18.5","17.3","31.0","1.8","2.4","1.2",".",".",".",".",".","0.6",".","."
"","100","002","179","2.556","11.2","10.6","15.6","21.2","35.2","3.4","2.8",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","347","2.626","13.0","11.5","17.0","19.3","33.1","2.6","2.6","0.6",".",".",".",".",".","0.3",".","."
"Archaeology & Prehist World","102","001","128","2.722","14.8","9.4","23.4","16.4","28.9","2.3","1.6","3.1",".",".",".",".",".",".",".","."
"","104","001","334","2.942","24.3","7.2","32.6","7.2","22.5","3.3","0.3","2.7",".",".",".",".",".",".",".","."
"","104","002","364","2.946","25.3","5.5","34.1","6.0","23.1","2.7","0.5","2.7",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","698","2.944","24.8","6.3","33.4","6.6","22.8","3.0","0.4","2.7",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","180","2.961","23.9","15.0","25.0","10.6","19.4","4.4","0.6","0.6",".",".",".",".",".",".",".","0.6"
"Principles of Archaeology","112","001","106","2.719","17.9","10.4","20.8","15.1","30.2","0.9","3.8",".",".",".",".",".",".",".","0.9","."
"Fr/Soph Seminar in Anthro","120","001","15","3.643","46.7","33.3","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Global Language Issues","211","001","8","3.214","62.5",".",".","12.5",".",".","12.5","12.5",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","28","3.288","28.6","25.0","28.6",".","7.1","3.6",".","7.1",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","36","3.181","11.1","30.6","52.8",".","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","30","2.948","23.3","33.3","6.7","10.0","13.3","3.3","6.7","3.3",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","11","3.455","72.7",".","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Indians of North America","314","001","66","2.847","18.2","12.1","21.2","10.6","30.3","1.5",".","6.1",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","68","3.046","33.8","5.9","29.4","2.9","17.6","4.4","1.5","2.9",".",".",".",".",".","1.5",".","."
"Topics in Ethnology","330","001","10","3.214","50.0","20.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Archaeol of Eastern N Amer","355","001","41","3.263","26.8","24.4","29.3","4.9","4.9",".","2.4","7.3",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Anthropology","365","001","29","3.707","72.4","17.2","6.9",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","11","3.450","45.5","9.1","27.3",".","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"American Indian Women","437","001","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","17","3.294","11.8","41.2","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458","001","68","3.291","20.6","33.8","29.4","11.8","2.9",".",".","1.5",".",".",".",".",".",".",".","."
"","490","001","14","3.429","50.0","35.7",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","490","002","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","13","3.692","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","41","3.659","68.3","14.6","9.8","4.9",".",".","2.4",".",".",".",".",".",".",".",".","."
"Folklore-Festivls&Celebratn","539","001","11","3.318","54.5","9.1","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 162 of 410",""
