"","760
105","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","139","3.825","75.5","15.1","8.6","0.7",".",".","",".","",".","",".",".","",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","8","3.875","75.0","25.0",".",".",".",".",".","",".","",".","",".",".","",".",".",".",".","."
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".",".",".","",".","",".","",".",".","",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1017","3.642","60.3","18.6","14.5","5.0","1.4","0.2","",".","",".","",".",".","",".",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","6","3.450","50.0",".",".","16.7","33.3",".","",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","31","3.258","25.8","19.4","32.3","16.1","6.5",".","",".","",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","37","3.302","29.7","16.2","27.0","16.2","10.8",".","",".","",".","",".",".","",".",".",".",".",".","."
"Special","","4","3.786","50.0","50.0",".",".",".",".","",".","",".","",".",".","",".",".",".",".",".","."
"Graduate","","21","3.966","90.5","9.5",".",".",".",".","",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","139","3.936","91.4","5.8","2.2",".","0.7",".","",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","273","3.313","46.9","24.5","19.8","7.0","0.7","0.7","",".","",".","",".",".","",".",".","0.4",".",".","."
"Prof Yr 3","","439","3.390","31.0","17.3","14.6","5.7","1.4",".","",".","",".","",".",".","",".","30.1",".",".",".","."
"Prof Yr 4","","236","3.857","80.5","11.9","6.8","0.4","0.4",".","",".","",".","",".",".","",".",".",".",".",".","."
"Professionals","","1087","3.643","53.4","16.5","12.6","4.1","0.9","0.2","",".","",".","",".",".","",".","12.1","0.1",".",".","."
"","Dept. Total","1149","3.642","53.4","16.4","12.8","4.4","1.2","0.2","",".","",".","",".",".","",".","11.5","0.1",".",".","."
