"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","200","3.422","38.5","27.5","23.5","3.5","5.0","1.0","0.5","0.5",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","134","3.056","12.7","29.9","26.1","18.7","12.7",".",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","132","3.038","18.2","12.1","46.2","7.6","15.2","0.8",".",".",".",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Pharmacology I","001","","140","3.234","31.4","15.7","32.1","9.3","10.0","0.7",".",".",".",".",".",".","0.7",".",".","."
"531
Medicinal Chemistry I","001","","135","2.866","11.1","11.1","43.0","14.1","17.0","3.0",".",".",".",".",".",".",".",".","0.7","."
"540
Drug Delivery Systems","001","","133","3.079","14.3","20.3","39.1","19.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","134","3.328","30.6","18.7","38.8","9.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","131","3.302","26.7","25.2","31.3","15.3","1.5",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"635
Drug Interactions","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"638
Nonprescription Medications","001","","100","3.395","20.0","35.0","22.0","9.0",".",".",".","14.0",".",".",".",".",".",".",".","."
"645
Phmceut","001","","131","3.285","25.2","20.6","40.5","12.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","3.889","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","14","",".",".",".",".",".",".",".","92.9",".",".",".","7.1",".",".",".","."
"931
Pharmaceutical Sci Seminar","001","","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
