"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","214","3.701","50.5","4.7","11.7","1.9","",".","0.9","",".","30.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","11","3.708","63.6","9.1","27.3",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","49","3.629","69.4","2.0","20.4","2.0","",".","4.1","",".","2.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","62","3.654","69.4","3.2","21.0","1.6","",".","3.2","",".","1.6","",".",".","",".","",".","",".",".",".","."
"Special","","7","3.842","85.7",".","14.3",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","145","3.720","40.7","5.5","7.6","2.1","",".",".","",".","44.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","214","3.701","50.5","4.7","11.7","1.9","",".","0.9","",".","30.4","",".",".","",".","",".","",".",".",".","."
