"EDU","","","","","","","","","","","","","","","","","","",""
"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Prof Skills I: Prof Prac in OT","610
001","23","3.630","47.8","30.4","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills III: Org & Mgmt-OT","612
001","23","3.652","39.1","52.2","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational-based Thry & Prac","620
001","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Occupationl Participatn","621
001","24","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yng Adult Occs&Ther Interventn","623
001","23","3.522","17.4","73.9","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Adoles&Yng Adlt","626
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662
001","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"Fieldwork-Physical Disabil","664
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sci Inq-OT I: Evidence-Based","671
001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inq-OT III: Data Coll&Anal","673
001","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","227","3.707","48.9","27.3","6.2","0.4",".",".",".",".",".","16.7","0.4",".",".",".",".","."
