"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Population and Society","663","001","","8","3.188","12.5","50.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Internatl Finance","666","001","","34","3.309","41.2","23.5","17.6","2.9","11.8",".","2.9",".",".",".",".",".",".",".",".","."
"","681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","698","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Mathematical Economics I","703","001","","22","3.642","50.0","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","","56","3.276","19.6","26.8","46.4","1.8",".",".","1.8","3.6",".",".",".",".",".",".",".","."
"","711","001","","28","3.429","32.1","25.0","39.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","711","002","","27","3.241","22.2","33.3","29.6","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","55","3.336","27.3","29.1","34.5","5.5","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","712","001","","27","3.278","29.6","33.3","18.5","14.8",".",".","3.7",".",".",".",".",".",".",".",".","."
"","712","002","","17","3.588","47.1","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","44","3.398","36.4","34.1","13.6","13.6",".",".","2.3",".",".",".",".",".",".",".",".","."
"Econometric Methods","715","001","","33","3.887","81.8","9.1",".",".","3.0",".",".",".",".",".",".",".","3.0","3.0",".","."
"Regional Econ Prob Analysis","734","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750","001","","11","3.600","27.3","54.5","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".",".",".","7.1","."
"Adv Microeconomic Theory I","805","001","","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","","11","3.840","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Econ Policy","880","001","","34","3.468","35.3","26.5","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","2.9"
"Recent Advances-Economics","899","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp in Math Econ Theory","901","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
