"MED","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212
001","40","2.987","17.5","12.5","35.0","15.0","17.5",".",".","2.5",".",".",".",".",".",".",".","."
"Physician in Hist (Honors)","284
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Childbirth in the US","431
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health&Soc Welfare-West Soc","444
001","13","3.375","30.8","15.4","38.5","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523
001","13","2.917","7.7","30.8","30.8",".","15.4","7.7",".","7.7",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","16","3.607","25.0","56.3","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","559
001","13","3.308","30.8","15.4","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Perspectives-Medicine","720
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Ethical Issues in Medicine","730
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","133","3.175","23.3","19.5","24.1","7.5","7.5","0.8","0.8","16.5",".",".",".",".",".",".",".","."
