"OPHTHALMOLOGY AND VISUAL  Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699
001","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
030","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
290","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Directed Study","","5","***","","","","","","","","","","","","","","","","","","","","","","","",""
"812
014","","13","3.538","7.7","92.3",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"812
015","","14","3.679","35.7","64.3",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"016
812","","11","3.636","27.3","72.7",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"812
017","","13","3.500",".","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"018
812","","11","3.636","27.3","72.7",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"812
019","","12","3.625","25.0","75.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Third Year Ophthalmology","","74","3.601","20.3","79.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"919
006","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"919
016","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Indiv 4th Yr Clin Clerkship","","2","***","","","","","","","","","","","","","","","","","","","","","","","",""
"OPHTHALM
Dept. Total
702","","81","3.624","24.7","72.8","1.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.2","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","5","3.692","80.0",".","20.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","72","3.599","19.4","79.2",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.4","."
"Prof Yr 4","","4","3.800","50.0","50.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","76","3.612","21.1","77.6",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.3","."
"Dept. Total","","81","3.624","24.7","72.8","1.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.2","."
