"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"Special Problems-Neurology","699
085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Muscl Func/Hlth&Disease","779
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
031","","13","3.423","30.8","23.1","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
032","","14","3.393","28.6","21.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
033","","11","3.273","9.1","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
034","","13","3.385","30.8","15.4","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","035
812","","11","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","036
812","","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Neurology","Course Total","","74","3.392","25.7","27.0","47.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Neurol-Outpt Clerk-CSC","923
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","927
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","927
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clerk Neurology-VAH","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Rsch-Neurological Fields","990
081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","Dept. Total","","84","3.416","25.0","27.4","44.0",".",".",".",".",".",".",".",".",".",".",".","1.2","2.4"
