"PHARMACEUTICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Advanced Independent Study","999
048","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"PHM SCI
718","Dept. Total","968","2.950","24.7","11.6","26.8","11.5","18.6","2.1","0.2","2.6","",".",".","",".","1.9","",".",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","2.833","25.0",".","25.0","25.0","25.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","40","3.417","62.5","2.5","15.0","2.5","17.5",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","44","3.352","59.1","2.3","15.9","4.5","18.2",".",".",".","",".",".","",".",".","",".",".",".","."
"Special","","1","1.000",".",".",".",".",".","100.0",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","152","3.789","61.2","4.6","5.3","0.7",".",".",".","16.4","",".",".","",".","11.8","",".",".",".","."
"Prof Yr 1","","237","2.750","10.1","16.9","29.1","16.0","19.8","6.8","0.4",".","",".",".","",".",".","",".",".",".","0.8"
"Prof Yr 2","","367","3.042","21.8","11.2","33.5","10.1","22.6","0.5","0.3",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","167","2.807","9.6","13.8","31.1","19.8","25.1","0.6",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","771","2.877","15.6","13.5","31.6","14.0","22.3","2.5","0.3",".","",".",".","",".",".","",".",".",".","0.3"
"","Dept. Total","968","2.950","24.7","11.6","26.8","11.5","18.6","2.1","0.2","2.6","",".",".","",".","1.9","",".",".",".","0.2"
