"CLINICAL LABORATORY SCIEN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro-Cl Lab Sci Procedures","310
001","21","3.167","4.8","28.6","61.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Prin of Clin Lab Instr I","404
001","19","3.184","15.8","21.1","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514
001","21","3.071","9.5","14.3","61.9","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology II","516
001","16","2.938","12.5","6.3","62.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Select&Eval-Meas & Contrl Proc","520
001","15","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry II","526
001","15","3.000","13.3","6.7","60.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagosis-Infec Disease II","536
001","19","3.158","26.3",".","63.2",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Molecular Diagnostics","570
001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
001","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","575
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","17","3.712","76.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues Seminar","640
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","173","3.243","31.8","12.1","47.4","4.0","4.0","0.6",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Sophomore","","8","3.125",".","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","11","3.239","9.1","27.3","63.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","154","3.248","35.1","9.7","46.1","3.9","4.5","0.6",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","173","3.243","31.8","12.1","47.4","4.0","4.0","0.6",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","173","3.243","31.8","12.1","47.4","4.0","4.0","0.6",".",".",".",".",".",".",".",".",".","."
