"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"544
Surgery Fundamentals","001","","80","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Fundmntls-Anesthesiology I","001","","79","3.620","46.8","32.9","17.7","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"546
Fundmntls-Anesthesiology II","001","","77","3.247","22.1","24.7","44.2","3.9","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","77","2.753","6.5","9.1","46.8","11.7","22.1","3.9",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","76","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Radiology","001","","77","3.182","10.4","39.0","36.4","7.8","5.2","1.3",".",".",".",".",".",".",".",".",".","."
"642","001","","33","4.000","18.2",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","."
"642","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","38","4.000","18.4",".",".",".",".",".",".","81.6",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","19","4.000","42.1",".",".",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"645","001","","38","4.000","57.9",".",".",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"645","002","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","50","4.000","64.0",".",".",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","33","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"675","002","","19","4.000","42.1",".",".",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"675","004","","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"675","006","","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"675","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","010","","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","011","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","140","4.000","27.9",".",".",".",".",".",".","72.1",".",".",".",".",".",".",".","."
"676
Special Species Health","001","","77","3.558","24.7","63.6","10.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","51","4.000","78.4",".",".",".",".",".",".","21.6",".",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.933","50.0",".","5.6",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","31","4.000","12.9",".",".",".",".",".",".","83.9",".",".",".",".","3.2",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"744
Restrnt/Anesth Exotic Anmls","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 387 of 392",""
