"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110
001","","212","3.059","32.1","14.6","22.2","9.4","17.0","2.4","2.4",".",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200
001","","37","3.500","59.5","10.8","5.4","18.9","5.4",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201
001","","43","2.643","7.0","23.3","30.2","9.3","14.0","7.0","7.0","2.3",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202
001","","24","3.667","50.0","37.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240
001","","130","2.810","15.4","9.2","32.3","10.8","26.2","2.3","0.8","3.1",".",".",".",".",".",".",".","."
"Speech Pathology II","318
001","","52","3.365","17.3","46.2","30.8","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320
001","","49","3.827","73.5","20.4","4.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371
001","","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425
001","","41","3.720","61.0","24.4","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","434
001","","17","3.844","64.7","29.4",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"","434
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manual Coded English-SL II","Course Total","","23","3.841","65.2","30.4",".",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"Child Language Disorders","440
001","","47","3.685","55.3","25.5","14.9","2.1",".",".",".",".",".",".",".",".",".","2.1",".","."
"Lang&Learn Disordrs-Childrn","640
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","001
700","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysarthria","711
001","","35","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","717
001","","38","3.932","89.5","2.6","5.3",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","790
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
790","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
790","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
790","","23","3.740","82.6","4.3","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","790
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
009","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","71","3.890","88.7","7.0","2.8",".",".","1.4",".",".",".",".",".",".",".",".",".","."
"","791
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791
003","","11","3.761","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 184 of 392",""
