"Ethical Issues in Medicine","730
003","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","999
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
002","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","133","3.175","23.3","19.5","24.1","7.5","7.5","0.8","0.8","16.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","2.944","11.1","16.7","38.9","16.7","16.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","17","3.074","35.3","5.9","29.4","11.8","17.6",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","15","3.038","13.3","33.3","26.7",".","6.7",".","6.7","13.3","",".",".","",".","",".","",".",".",".","."
"Senior","","50","3.194","20.0","26.0","28.0","10.0","6.0","2.0",".","8.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","100","3.104","20.0","22.0","30.0","10.0","10.0","1.0","1.0","6.0","",".",".","",".","",".","",".",".",".","."
"Special","","3","3.500","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","8","3.821","37.5","25.0",".",".",".",".",".","37.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","12","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","3","3.500","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","22","3.700","31.8","4.5","4.5",".",".",".",".","59.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","133","3.175","23.3","19.5","24.1","7.5","7.5","0.8","0.8","16.5","",".",".","",".","",".","",".",".",".","."
