"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"716
Preventn&Mgmt-Hlth Probs II","040","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"717","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"717","050","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs III","Course Total","","10","3.912","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"735
Hlth-Women Across Lifespan","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Nursing Assessment of Dev","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"747","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"761
Care-Populatn Grps-Com Hlth","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Instr Process-Nursing Educ","001","","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"775
Special Topics in Nursing","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"798","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","16","4.000","56.3",".",".",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"802
Ethics & Conduct of Research","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 374 of 392",""
