"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","105
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
002","","15","3.767","66.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","17","3.688","58.8","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","162","2.863","13.6","19.8","29.6","16.0","13.6","3.1","3.1","1.2",".",".",".",".",".",".",".","."
"","401
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
002","","8","3.929","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","12","3.843","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","10","3.905","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","91","3.958","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","219","3.430","31.1","28.3","34.7","0.9","2.7",".",".","2.3",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","74","3.034","16.2","24.3","37.8","6.8","9.5","4.1","1.4",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","","25","3.375","28.0","44.0","16.0","4.0",".",".","4.0",".",".",".",".",".",".","4.0",".","."
"Homelessness: Service Learning","578
001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","","50","3.680","56.0","26.0","16.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Person","622
001","","20","3.780","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Family","623
001","","31","3.941","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","","27","3.914","88.9","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Affectng Change-Socl Agency","627
001","","23","3.975","91.3","4.3",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Ethnic and Racial Groups","640
001","","77","3.796","68.8","20.8","7.8","1.3",".",".",".","1.3",".",".",".",".",".",".",".","."
"Social Work and Adolescents","642
001","","20","3.551","60.0","5.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","26","3.281","30.8","30.8","23.1","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","644
002","","18","3.356","27.8","27.8","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","644
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","644
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","50","3.328","28.0","26.0","24.0","8.0","2.0","2.0",".",".",".",".",".",".","2.0",".",".","8.0"
"Methods-Social Wrk Research","650
001","","50","3.296","32.0","18.0","34.0","4.0","10.0",".",".",".",".",".",".",".","2.0",".",".","."
"Fam Prac-Foster & Kinship Care","656
001","","23","3.652","39.1","52.2","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","677
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 290 of 392",""
