"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","061","","18","3.639","33.3","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","18","3.472","22.2","50.0","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","72","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Pediatric Subinternship-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Adolescent Med Clerk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946
Child Psych Clerk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"953
Clin Genetics Clerk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
