"MED","","","","","","","","","","","","","","","","","","","","","",""
"PATHOLOGY AND LABORATOR","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"PATH
704","Dept. Total","591","3.017","21.2","14.0","24.7","18.3","10.3","4.7","0.3","4.9","",".",".","",".","",".","1.0","0.2","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","24","2.318","4.2","12.5","12.5","37.5","8.3","16.7","4.2",".","",".",".","",".","",".",".",".","4.2","."
"Junior","","94","2.333","3.2","6.4","23.4","25.5","24.5","14.9","1.1",".","",".",".","",".","",".","1.1",".",".","."
"Senior","","80","2.738","8.8","15.0","22.5","26.3","22.5","3.8",".","1.3","",".",".","",".","",".",".",".",".","."
"Undergraduates","","198","2.491","5.6","10.6","21.7","27.3","21.7","10.6","1.0","0.5","",".",".","",".","",".","0.5",".","0.5","."
"Special","","4","3.591","50.0","25.0","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","124","3.450","33.9","16.9","15.3","4.8","0.8","0.8",".","22.6","",".",".","",".","",".","4.0","0.8",".","."
"Prof Yr 1","","266","3.214","27.8","15.0","31.2","17.3","6.0","2.3",".",".","",".",".","",".","",".",".",".",".","0.4"
"Prof Yr 2","","5","3.118","40.0",".",".","40.0","20.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","272","3.214","28.3","14.7","30.5","17.6","6.3","2.2",".",".","",".",".","",".","",".",".",".",".","0.4"
"","Dept. Total","598","3.017","22.1","13.9","24.4","18.1","10.2","4.7","0.3","4.8","",".",".","",".","",".","1.0","0.2","0.2","0.2"
