"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Great Scientists","100","001","","32","3.250","25.0","28.1","28.1","6.3","3.1",".","3.1","6.3",".",".",".",".",".",".",".","."
"Fr Hon Sm:Hist Sci,Tech,Med","180","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Making of Modern Science","202","001","","66","2.860","10.6","21.2","18.2","21.2","10.6","1.5","3.0","13.6",".",".",".",".",".",".",".","."
"The Sciences of Man","205","001","","61","3.123","23.0","18.0","31.1","11.5","4.9","4.9",".","6.6",".",".",".",".",".",".",".","."
"The Physician in History","212","001","","41","3.167","24.4","26.8","22.0","9.8","9.8",".","2.4","2.4",".",".",".",".",".",".","2.4","."
"Technol&Social Chng in Hist","222","001","","40","3.186","15.0","25.0","27.5","17.5","2.5",".",".","12.5",".",".",".",".",".",".",".","."
"Hon Sm:Studies-Sci,Tech,Med","280","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physician in Hist (Honors)","284","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ancient & Medieval Science","322","001","","26","3.660","53.8","23.1","15.4","3.8",".",".",".",".",".",".",".",".","3.8",".",".","."
"Science in Enlightenment","324","001","","22","3.402","31.8","22.7","27.3","4.5","4.5",".",".","4.5",".",".",".",".",".",".","4.5","."
"Hist of Phys-Classic Period","325","001","","20","3.045","15.0","40.0","15.0","5.0",".",".","10.0","15.0",".",".",".",".",".",".",".","."
"History of Pharmacy","401","001","","17","2.594","17.6","5.9","41.2",".","11.8","5.9","11.8","5.9",".",".",".",".",".",".",".","."
"Health&Soc Welfare-West Soc","444","001","","10","3.200","40.0","20.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","","8","3.519","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","","10","3.350","30.0","40.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-Hist of Sci","555","001","","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","6","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Studies-Ancient&Medievl Sci","622","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Smr: Medvl Renaiss&17C Sci","903","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Special Topics","921","001","","10","3.929","60.0","10.0",".",".",".",".",".","10.0",".",".",".",".","20.0",".",".","."
"Seminar:Research and Thesis","925","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Science Colloq","950","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
"","999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 228 of 392",""
