"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"300
Principles-Risk Management","001","","255","3.000","18.4","11.0","45.9","5.5","14.1","2.4","0.8","2.0",".",".",".",".",".",".",".","."
"399","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","Course Total","","4","***","","","","","","","","","","","","","","","",""
"615
Liability Risk Management","001","","54","3.453","35.2","24.1","33.3","5.6",".",".",".","1.9",".",".",".",".",".",".",".","."
"620
Employee Benefits Managemnt","001","","53","3.567","37.7","35.8","24.5",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"625
Government Insurance Progs","001","","16","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"710
Risk Management","001","","16","3.467","37.5","12.5","43.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","Course Total","","3","***","","","","","","","","","","","","","","","",""
"820
Risk Mgmt Info Systems","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Smr-Risk Managemnt&Insuranc","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990
PhD Thesis-Risk&Insurance","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","","2","***","","","","","","","","","","","","","","","",""
