"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Ind Rel-Develping Countries","552","001","","22","3.000","18.2","27.3","36.4","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","","10","3.400","20.0","60.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Tutorial-Rsch Project Dsgn","590","001","","9","3.278","33.3","33.3","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics II","606","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Economics & Policy","641","001","","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"International Trade Policy","665","001","","28","2.875","32.1","10.7","10.7","21.4","14.3","7.1","3.6",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","3.868","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutional Economics","707","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","","75","3.195","20.0","17.3","46.7","10.7","4.0",".",".","1.3",".",".",".",".",".",".",".","."
"","713","001","","44","3.182","25.0","4.5","59.1","9.1",".","2.3",".",".",".",".",".",".",".",".",".","."
"","713","002","","26","2.942","3.8","3.8","73.1","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","70","3.093","17.1","4.3","64.3","11.4","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","714","001","","40","3.288","5.0","47.5","47.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714","002","","16","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","56","3.313","10.7","41.1","48.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Microecon Theory","809","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Macroeconometric Anal","836","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics - Public Finance","846","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-International Economics","873","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Econ Policy","880","001","","59","3.432","37.3","28.8","25.4","6.8",".",".","1.7",".",".",".",".",".",".",".",".","."
"","899","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Advances-Economics","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
