"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","54","3.843","72.2","25.9",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","103","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","157","3.936","88.5","10.8",".","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","27","3.815","66.7","29.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Families-Individs w/ Disabils","001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Mth&Curric:Lrn&Bhv Dis, 6-12","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Mgmt: Stdts/Lrn&Bhv Disability","001","","18","3.833","94.4",".",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"474","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"474","002","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"474","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv","Course Total","","31","3.839","74.2","19.4","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"475","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","4","***","","","","","","","","","","","","","","","",""
"476
Pract:Stdts/Lrn&Bhv Dis, 6-12","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"477","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"477","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"477","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"478","002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Rehab Psych-Medical Aspects","001","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","18","3.955","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","22","3.962","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"660","005","","11","3.912","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","15","3.930","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"690","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".","12.5",".",".","."
"699
Independent Reading","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
