"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"405
Pathophys Basis-Phmcotherpy","001","","135","3.507","39.3","31.1","23.0","3.0","3.0",".",".",".",".",".",".",".",".",".",".","0.7"
"426","001","","132","3.985","98.5",".","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"426","305","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Pharm Care Clrkshp II","Course Total","","133","3.985","97.7",".","1.5",".",".",".",".",".",".",".",".",".",".",".",".","0.8"
"448
Team Appr-Emergncy Care","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490
Select Topics-Pharmacy Prac","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"526
Intro-Phmceut Care Clrk IV","056","","128","3.992","99.2",".","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","140","2.687","3.6","11.4","33.6","32.1","15.7",".","2.9","0.7",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","126","3.472","24.6","52.4","16.7","5.6","0.8",".",".",".",".",".",".",".",".",".",".","."
"626
Intro-Phmceut Care Clrk VI","056","","112","3.946","94.6",".","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","33","2.833","6.1","24.2","24.2","21.2","24.2",".",".",".",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","114","2.939","11.4","20.2","34.2","23.7","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"664","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"670","001","","15","3.860","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"670","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Therapeutics","Course Total","","19","3.828","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","23","3.754","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","22","3.182","13.6","31.8","36.4","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"675","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health Pharmacother","Course Total","","26","3.212","15.4","34.6","30.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","176","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","28","3.956","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","001","","27","3.444","33.3","29.6","33.3",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"710","002","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","Course Total","","34","3.456","35.3","26.5","35.3",".","2.9",".",".",".",".",".",".",".",".",".",".","."
