"NURSING","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"","105","001","25","3.420","32.0","32.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","105","002","135","3.791","74.8","15.6","4.4","2.2","1.5","0.7",".",".",".",".",".",".","0.7",".",".","."
"Health Care: Intrdis Appr","","Course Total","160","3.759","68.1","18.1","7.5","3.8","1.3","0.6",".",".",".",".",".",".","0.6",".",".","."
"","299","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","302","001","62","3.395","25.8","38.7","25.8","8.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"","302","002","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","","Course Total","75","3.480","36.0","33.3","22.7","6.7","1.3",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306","001","9","3.750","66.7",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"Psychopathology & Nursing","310","001","35","3.557","42.9","25.7","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","312","001","102","3.559","37.3","43.1","14.7","3.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319","001","102","3.755","58.8","35.3","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322","001","30","3.900","83.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332","001","86","3.622","39.5","45.3","15.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Sexuality","360","001","25","3.760","56.0","40.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401","001","104","3.534","40.4","36.5","12.5","10.6",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415","001","102","3.814","69.6","25.5","3.9",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419","001","41","3.878","78.0","19.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","434","001","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","434","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nursing Research","","Course Total","7","3.357","28.6","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437","003","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","444","003","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449","001","58","3.888","82.8","12.1","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","490","022","14","3.385","14.3","50.0","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","7.1"
"","490","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","","Course Total","21","3.448","28.6","33.3","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","4.8"
"Capstone Practicum for RN's","519","001","9","3.670","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assessment-Primary Care","601","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Mgmt-Adv Nurs Prac","612","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613","020","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","030","4","***","","","","","","","","","",".",".",".",".",".",".","."
