"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Independent Study","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402
Pathophys Princ-Hum Disease","001","","20","2.450",".","5.0","20.0","45.0","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"404
Pathophys Princ-Hum Disease","001","","302","2.572","3.6","12.9","25.5","29.1","17.9","8.9","0.7","0.7",".",".",".",".","0.3",".",".","0.3"
"626
Toxicology II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Quality Control Basics","001","","6","3.750","50.0",".","16.7",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"656
Quality Control Projects","001","","6","3.333","16.7",".","33.3",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"691
Senior Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"703
General Pathology","001","","147","3.503","46.3","15.6","32.0","4.8","1.4",".",".",".",".",".",".",".",".",".",".","."
"709
Topics-Cell Struct & Functn","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","62","3.500","37.1","32.3","24.2","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"799
Independent Rdg & Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924
Lab Med: Clin Hematl El-CSC","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","28","",".",".",".",".",".",".",".","96.4",".",".",".",".",".","3.6",".","."
