"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Respiratory Pharmacotherapy","720
002","4","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Gastrointestnl Pharmacother","722
002","5","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Hematol&Oncol Pharmacother","726
002","4","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","740
005","16","3.875","81.3","12.5","6.3",".",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"","740
006","16","3.969","93.8","6.3",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"","740
105","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","33","3.923","87.9","9.1","3.0",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"","741
005","16","3.938","93.8",".","6.3",".",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"","741
006","16","3.969","93.8","6.3",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","32","3.953","93.8","3.1","3.1",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","760
005","55","3.718","67.3","14.5","10.9","7.3",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"","760
006","53","3.786","71.7","15.1","9.4","3.8",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"","105
760","6","3.833","83.3",".","16.7",".",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"","760
106","4","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","118","3.758","71.2","13.6","10.2","5.1",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Conf:Rsch Workers Hosp Phm","001
962","6","3.917","83.3","16.7",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".","."
"Advanced Independent Study","999
027","6","4.000","33.3",".",".",".",".",".","",".",".",".","",".",".","","66.7",".","",".",".","."
"PHM PRAC
728","Dept. Total","1267","3.484","54.8","16.9","15.5","8.0","3.6","",".","0.6","0.1","",".",".","",".","0.3","",".",".","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Special","","11","3.364","18.2","18.2","36.4","9.1",".","",".",".","9.1","",".",".","",".",".","",".",".","9.1","."
"Graduate","","14","3.964","64.3","7.1",".",".",".","",".",".",".","",".",".","",".","28.6","",".",".",".","."
"Prof Yr 1","","289","3.735","67.1","17.3","11.8","1.7","1.4","",".",".",".","",".",".","",".",".","",".",".",".","0.7"
"Prof Yr 2","","396","3.154","43.9","21.0","16.7","12.9","5.1","",".","0.5",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","376","3.195","46.3","15.4","21.3","9.8","5.9","",".","1.3",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","176","3.819","77.3","11.4","7.4","4.0",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1237","3.481","54.8","17.1","15.6","8.1","3.7","",".","0.6",".","",".",".","",".",".","",".",".",".","0.2"
"","Dept. Total","1267","3.484","54.8","16.9","15.5","8.0","3.6","",".","0.6","0.1","",".",".","",".","0.3","",".",".","0.1","0.2"
