"MED","","","","","","","","","","","","","","","","","","","",""
"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"","812
041","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
042","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
043","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
812","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","045
812","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
046","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","72","3.826","75.0","15.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","72","3.826","75.0","15.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 3","","","70","3.821","74.3","15.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","","72","3.826","75.0","15.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","72","3.826","75.0","15.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
