"TERM : 1024","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2001-2002","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL PHYSICS","Section","#","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","",""
"MED PHYS
621","Dept. Total","146","3.560","29.5","28.8","9.6","0.7","",".","0.7","",".","24.0","0.7",".","",".","4.8","0.7",".",".","0.7"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","3","3.000",".",".","66.7",".","",".",".","",".",".",".",".","",".",".","33.3",".",".","."
"Undergraduates","","3","3.000",".",".","66.7",".","",".",".","",".",".",".",".","",".",".","33.3",".",".","."
"Special","","3","3.357",".","66.7","33.3",".","",".",".","",".",".",".",".","",".",".",".",".",".","."
"Graduate","","138","3.575","29.7","29.0","8.0","0.7","",".","0.7","",".","25.4","0.7",".","",".","5.1",".",".",".","0.7"
"Prof Yr 4","","2","4.000","100.0",".",".",".","",".",".","",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".","",".",".","",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","146","3.560","29.5","28.8","9.6","0.7","",".","0.7","",".","24.0","0.7",".","",".","4.8","0.7",".",".","0.7"
