"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","175","2.716","13.7","14.3","21.1","17.1","27.4","4.0","1.7","0.6",".",".",".",".",".",".",".","."
"","100","002","174","3.049","31.0","9.8","27.6","8.0","20.1","1.7","1.1","0.6",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","349","2.882","22.3","12.0","24.4","12.6","23.8","2.9","1.4","0.6",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","200","2.644","14.5","11.5","18.5","16.0","33.0","2.0","3.5","1.0",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","580","3.586","50.0","24.3","15.7","2.8","1.7","0.7","0.5","3.6","0.3",".",".",".",".","0.2","0.2","."
"Human Biology Laboratory","106","001","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution of Human Species","107","001","177","2.616","10.7","15.3","24.3","18.6","17.5","10.7","2.8",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","66","3.071","15.2","25.8","34.8","9.1","7.6",".","3.0","1.5",".",".",".",".",".",".","3.0","."
"Latin America-Introduction","260","001","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","29","3.500","37.9","17.2","17.2","10.3",".",".",".","13.8",".",".",".",".",".",".","3.4","."
"Cult Anthro:Thry&Ethnogrphy","300","001","87","3.131","28.7","19.5","18.4","17.2","10.3",".","2.3","2.3","1.1",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","26","3.083","34.6",".","38.5",".","11.5","7.7",".","3.8",".",".",".",".","3.8",".",".","."
"The Origins of Civilization","322","001","65","3.038","16.9","29.2","23.1","12.3","15.4","3.1",".",".",".",".",".",".",".",".",".","."
"","330","001","14","3.556","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330","002","12","3.573","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","","Course Total","26","3.564","38.5","42.3","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeology of S America","332","001","40","3.388","50.0","22.5","12.5",".","12.5",".","2.5",".",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","11","3.757","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peoples&Cult-Cent&East Europe","369","001","43","3.591","58.1","7.0","20.9","2.3","4.7",".",".","7.0",".",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","17","3.294","29.4","23.5","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","22","2.659","13.6","9.1","36.4","4.5","27.3","4.5","4.5",".",".",".",".",".",".",".",".","."
"Evolution of Genus, Homo","411","001","14","3.536","57.1","14.3","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","18","3.438","16.7","44.4","27.8",".",".",".",".","5.6",".",".",".",".",".","5.6",".","."
"Hist-Buddhism&Soc Institutn","460","001","6","3.300","16.7","16.7","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","490","001","16","3.367","43.8","31.3","6.3",".","6.3",".","6.3","6.3",".",".",".",".",".",".",".","."
"","490","002","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","45","3.591","48.9","35.6","8.9",".","2.2",".","2.2","2.2",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","24","3.239","16.7","41.7","29.2","4.2",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"Ethnicity, Nations&Nationalism","606","001","20","3.710","60.0","15.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Ecological Models-Behavior","658","001","14","3.679","50.0","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Anthropology","690","001","11","2.297","9.1","18.2","18.2","9.1","18.2",".","18.2","9.1",".",".",".",".",".",".",".","."
"Senior Thesis","691","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Historical Anthropology","910","001","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
