"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"PHYSICAL THERAPY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","",""
"Principles-Pro Practice&Adm","512
001","38","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Agents in Rehab","521
001","23","3.522","26.1","52.2","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Therapeutic Exercise","534
001","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","539
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","539
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Professional Issues II","Course Total","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","541
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","541
002","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Professional Issues IV","Course Total","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Neuromusculoskeletal Movmnt","627
001","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adults-Motor Cont Dysfunctn","636
001","38","3.737","50.0","47.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues-Rehabilitatn","641
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Research Practicum","642
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Musc-skel Assessmt/Treatmt","677
001","38","3.513","28.9","44.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY THER
745","Dept. Total","264","3.677","34.5","25.8","9.1",".",".",".",".",".",".","30.7",".",".",".",".",".","."
