"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"910
Indep Rdg & Rsch-4th Yr Med","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","49","3.794","55.1","34.7","2.0",".",".",".",".",".",".",".",".",".",".",".",".","8.2"
"923
Clin Nuclr Med Clerk-CSC/VA","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Radiol Clerk-St Lukes","Course Total","","4","***","","","","","","","","","","","","","","","",""
