"SOCIAL WORK","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","",""
"","699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Group Work Practice","714","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","801","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801","003","","10","3.948","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","009","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801","011","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","013","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","014","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","015","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","016","","7","3.861","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","","Course Total","","119","3.946","89.1","10.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law I","822","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grief, Death, Loss and Life","825","001","","25","3.938","84.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Administration-Social Work","841","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","842","001","","28","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","861","001","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","862","001","","23","3.923","47.8","8.7",".",".",".",".",".","43.5",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","867","001","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Illness-Comm Treatmt","870","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923","001","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac Iss-Devel Disabilties","934","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Com Mental Health Services","935","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethicl Behav-Soc Work Pract","940","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos-Sci & Thry-Appl Rsch","942","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods-Social Work","943","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Welfare Policy","944","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 291 of 392",""
