"PHM","","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","13","3.231","30.8",".","61.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"414","001","","129","3.244","26.4","26.4","25.6","13.2","8.5",".",".",".",".",".",".",".",".",".",".","."
"414","305","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacists/Health Care Sys","Course Total","","130","3.244","26.2","26.2","25.4","13.1","8.5",".",".",".",".",".",".",".",".",".",".","0.8"
"511
Pharmacy Law and Regulation","001","","126","2.968","7.9","23.8","31.0","30.2","6.3","0.8",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Prosem:Social & Behav Phcy","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","112","3.143","8.0","33.9","42.0","10.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"699","012","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
