"COLLEGE:  L&S","","","","","","","","","","","","","","",""
"SUBJECT:  ASIAN LANGUAGES AND CULTURES: LANGUAGES (186)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","ENRN","TOT","",""
"A1","405","LEC","001","1","13:00 - 14:15","T","R","","","","0452 0316","","7","0003919938","P / BYUNG-JIN LIM"
"A1","405","LEC","001","1","13:00 - 14:15","T","R","","","","0452 0316","","7","0006403000","X / SOOYUN SIEMENS"
"A1","421","LEC","001","1","13:00 - 14:15","T","R","","","","ONLINE","4","1","0003226297","P / ERLIN BARNARD"
"A1","421","LEC","002","1","13:00 - 14:15","T","R","","","","ONLINE","2","0","0003226297","S / ERLIN BARNARD"
"A1","421","LEC","002","1","13:00 - 14:15","T","R","","","","ONLINE","2","0","0004542398","P / HONG DINH"
"A1","421","LEC","003","1","11:00 - 12:15","T","R","","","","0453 0220","4","1","0003226297","S / ERLIN BARNARD"
"A1","421","LEC","003","1","11:00 - 12:15","T","R","","","","0453 0220","4","1","0005302602","P / MUHAMMAD ASIF"
"A1","421","LEC","004","1","13:00 - 14:15","T","R","","","","ONLINE","6","2","0003226297","S / ERLIN BARNARD"
"A1","421","LEC","004","1","13:00 - 14:15","T","R","","","","ONLINE","6","2","0001169885","P / JANPANIT SURASIN"
"A1","421","LEC","005","1","13:00 - 14:15","T","R","","","","ONLINE","","1","0004542398","P / HONG DINH"
"A1","421","LEC","005","1","13:00 - 14:15","T","R","","","","ONLINE","","1","0003226297","S / ERLIN BARNARD"
"A1","451","LEC","001","1","14:30 - 15:45","M","W","","","","0046 6112","","20","0003484595","P / NAOMI GEYER"
"A1","475","LEC","001","1","11:00 - 11:50","M","W","F","","","0046 6310","19","14","0004950498","P / TIANLU ZHANG"
"A1","560","LEC","001","1","13:00 - 14:15","T","R","","","","ONLINE","2","0","0003226297","S / ERLIN BARNARD"
"A1","560","LEC","001","1","13:00 - 14:15","T","R","","","","ONLINE","2","0","0004542398","P / HONG DINH"
"A1","560","LEC","002","1","13:00 - 14:15","T","R","","","","0046 6105","","6","0006316529","P / ZARA CHOWDHARY"
"A1","560","LEC","002","1","13:00 - 14:15","T","R","","","","0046 6105","","6","0003226297","S / ERLIN BARNARD"
"A1","560","LEC","003","1","13:00 - 14:15","T","R","","","","ONLINE","","1","0003226297","P / ERLIN BARNARD"
