"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","227","3.652","53.3","32.2","8.8","0.4","0.9","0.4","1.3","2.6",".",".",".",".",".",".",".","."
"","314
001","77","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
002","79","3.962","92.4","7.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo Dz Prev Acrs Lfspn","Course Total","156","3.965","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in Nursing Practice","315
003","46","3.967","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
001","166","2.979","5.4","30.7","30.1","24.1","9.0",".","0.6",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv & Fam: Exp Lrng","326
002","162","",".",".",".",".",".",".",".",".",".","96.9","3.1",".",".",".",".","."
"","430
001","100","3.290","13.0","42.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","430
002","102","3.265","11.8","39.2","39.2","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"Perinatal Nursing","Course Total","202","3.277","12.4","40.6","37.1","9.9",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","100","3.555","35.0","42.0","22.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","431
002","102","3.520","31.4","44.1","21.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Nrsng Care - Children & Family","Course Total","202","3.537","33.2","43.1","21.8","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","436
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
003","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","443
001","100","3.155","4.0","43.0","36.0","14.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","443
002","102","3.206","6.9","38.2","45.1","8.8","1.0",".",".",".",".",".",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prac","Course Total","202","3.181","5.4","40.6","40.6","11.4","2.0",".",".",".",".",".",".",".",".",".",".","."
"","445
001","78","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","78","3.885","79.5","17.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transformative Nrsg Capstone","Course Total","156","3.894","80.1","18.6","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","77","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
002","78","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
003","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","Course Total","202","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","447
001","77","3.669","35.1","63.6","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
002","107","3.729","47.7","50.5","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scholarship for Evd-Bsd Pract","Course Total","184","3.704","42.4","56.0","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Nursing","448
033","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interprof Collab Pract in HIV","467
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","470
002","12","3.966","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culturally Congruent Practice","510
001","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Cmnty Spts for Ppl w/ Dementia","511
001","27","3.879","85.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Health","517
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Health Assessment","601
005","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Mental Health Care","674
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
