"TERM : 1254","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2024-2025","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","Section
#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","754
Dept. Total","3.994","24.4","0.3","",".","",".","",".","",".","",".","73.3","",".","0.7","",".","0.3","0.1","0.1","0.8","."
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","3","***","","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
