"PHARMACOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","",""
"626
Toxicology II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"715
Grant Writing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"781
Pharmacology","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar & Journal Club","001","","35","3.871","74.3","25.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","90.9",".",".",".","3.0",".",".","6.1","."
