"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"741","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","45","3.967","95.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","006","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","007","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","008","","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","50","3.950","96.0",".","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"743","006","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","007","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","008","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","006","","49","3.837","83.7","10.2","2.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"760","007","","48","3.969","95.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","008","","47","3.957","91.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","185","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","189","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","218","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","255","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","270","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","289","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","156","3.926","91.0","6.4","1.3","0.6",".","0.6",".",".",".",".",".",".",".",".",".","."
"761","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"761","261","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"International Pharm Clerkship","Course Total","","4","***","","","","","","","","","","","","","","","",""
"764
Vet Pharmacy Clerkship","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962
Grad Sem Hlth-System Pharmacy","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
