"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"404
Pathophys Princp Human Disease","001","","133","3.981","97.7","1.5",".","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","36","3.847","83.3","2.8","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Cell/Molecular Bio/Path Sem","001","","25","3.880","88.0",".","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Moleculr Mechanisms of Disease","001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","69","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"916
Clin Micro - Resistance","001","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921
Transfusion Med Customized","011","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"922
Laboratory Medicine Customized","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Sickle cell disease","012","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"924
Immunohematology","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pathology for Surgeons","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"962","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
