"MEDICAL SCIENCES - MED SCH Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","",""
"722
003","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"722
004","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Clinicl Anatomy & Radiology","49","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"723
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"723
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Indep Adv Anatomy Dissection","4","***","","","","","","","","","","","","","","","",""
"740
003
Overview of Rural Health","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"772
001
Food, Fasting & Fitness","172","",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".",".",".","."
"773
001
Human Family Tree","172","",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".",".",".","."
"810
021","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"810
022","44","",".",".",".",".",".",".",".","95.5",".",".",".",".",".",".",".","4.5"
"Course Total
SCOPE","82","",".",".",".",".",".",".",".","97.6",".",".",".",".",".",".",".","2.4"
"811
021","43","",".",".",".",".",".",".",".","93.0",".",".",".",".",".",".",".","7.0"
"811
022","45","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","11.1"
"811
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"811
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Chronic and Preventive Care","90","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".","2.2","8.9"
"812
021","44","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"812
022","38","",".",".",".",".",".",".",".","84.2",".",".",".",".","5.3",".",".","10.5"
"Course Total
Acute Care","82","",".",".",".",".",".",".",".","92.7",".",".",".",".","2.4",".",".","4.9"
"813
021","44","",".",".",".",".",".",".",".","90.9","2.3",".",".",".",".",".",".","6.8"
"813
022","42","",".",".",".",".",".",".",".","88.1",".",".",".",".","4.8",".",".","7.1"
"813
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Surgical and Procedural Care","87","",".",".",".",".",".",".",".","89.7","1.1",".",".",".","2.3",".",".","6.9"
"902
041","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
042","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
043","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
044","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
045","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
046","16","",".",".",".",".",".",".",".","81.3",".",".",".",".",".",".","18.8","."
"Course Total
Ambulatory Acting Internship","104","",".",".",".",".",".",".",".","97.1",".",".",".",".",".",".","2.9","."
"913
006
WARM Internship Prep Elective","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"930
101
American Indian Health","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
