"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Russia: An Interdis Survey","253","001","","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","","29","3.605","48.3","6.9","3.4","3.4",".",".","3.4","34.5",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","","24","3.647","54.2","8.3","4.2",".",".",".","4.2","29.2",".",".",".",".",".",".",".","."
"American Legal History to Pres","262","001","","12","3.318","16.7","33.3","33.3","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Dimensions-Material Culture","264","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","20","3.846","45.0","20.0",".",".",".",".",".","30.0",".",".",".",".","5.0",".",".","."
"Hist Stdy Abrd: European Hist","271","00A","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","16","3.500","68.8","6.3","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"History at Work","300","001","","42","3.839","90.5",".","4.8",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Hist Am Thought 1859-Pres","302","001","","27","3.556","55.6","25.9","11.1","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"A History of Rome","307","001","","55","3.300","40.0","23.6","16.4","7.3","9.1","1.8","1.8",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","","35","3.865","68.6","2.9",".",".",".","2.9",".","25.7",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","","74","3.760","50.0","8.1","2.7","1.4","1.4","1.4",".",".",".",".",".",".",".",".","35.1","."
"The Holocaust","310","001","","42","3.667","57.1","33.3","7.1",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","","91","3.831","50.5","8.8","4.4",".","1.1",".",".","35.2",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","321","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Humanitarianism","330","001","","28","3.925","64.3","3.6","3.6",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"East Asia & The US Since 1899","332","001","","31","3.250","25.8","32.3","22.6",".","3.2","3.2","3.2","9.7",".",".",".",".",".",".",".","."
"Contemp France 1914-Present","349","001","","33","3.563","30.3","12.1","3.0",".",".",".","3.0","51.5",".",".",".",".",".",".",".","."
"Athenian Democracy","362","001","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","","49","3.619","57.1","14.3","8.2","2.0",".","2.0","2.0","14.3",".",".",".",".",".",".",".","."
"","401","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public History Workshop","","Course Total","","26","3.846","73.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Germany, 1871-Present","410","001","","25","3.583","56.0","24.0","4.0","8.0",".","4.0",".",".",".",".",".",".","4.0",".",".","."
"History-American Education","412","001","","19","3.789","78.9","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"The History of Punishment","426","001","","24","3.609","45.8","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","4.2","."
"Law and Environment","430","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History-Scand Since 1815","432","001","","17","3.824","82.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Global Environmental History","465","001","","26","3.308","26.9","7.7","3.8","7.7",".",".","3.8",".",".",".",".",".","3.8",".","46.2","."
"History of Forensic Science","477","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","001","","15","3.600","26.7","66.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","002","","10","3.550","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","500","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","004","","15","3.929","86.7",".","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","500","005","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","006","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","007","","15","3.786","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Reading Seminar in History","","Course Total","","84","3.762","65.5","25.0","6.0",".",".",".","1.2","1.2",".",".",".",".","1.2",".",".","."
