"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management","300","001","185","3.254","34.1","12.4","33.0","9.7","9.2","0.5",".","1.1",".",".",".",".",".",".",".","."
"","365","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ins Fin Stmnts & Captive Ins","636","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","44","3.386","43.2","18.2","27.3",".","9.1","2.3",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","39","3.436","33.3","35.9","28.2",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","655","001","37","3.500","29.7","45.9","18.9","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","660","001","52","3.385","42.3","15.4","26.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","660","002","37","3.622","62.2","16.2","10.8","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"Risk Analytics & Behav Science","","Course Total","89","3.483","50.6","15.7","20.2","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Cyber Risk & Regulations","670","001","41","3.732","48.8","48.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Mgt & Tech in Digital Age","705","001","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics in Risk Management","820","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci, Risk Mgmt & Ins I","920","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
