"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","72","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"909
Pediatrics Intern Prep Course","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch in Peds","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Clinical in Pediats","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921
LEND MD","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Peds NICU","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
