"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"School and Society","Course Total","196","3.890","87.2","6.6","4.6","1.0",".","0.5",".",".",".",".",".",".",".",".",".","."
"","305
001","24","3.674","75.0",".","8.3","4.2","8.3",".",".",".",".",".",".",".","4.2",".",".","."
"","305
002","24","3.457","45.8","20.8","20.8",".","4.2","4.2",".",".",".",".",".",".","4.2",".",".","."
"Democracy and Education","Course Total","48","3.565","60.4","10.4","14.6","2.1","6.3","2.1",".",".",".",".",".",".","4.2",".",".","."
"Applied Quantitative Ed Rsrch","309
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
001","49","3.765","77.6","14.3","4.1",".","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"","320
003","46","3.822","84.8","8.7",".",".","2.2",".","2.2",".",".",".",".",".","2.2",".",".","."
"","320
005","26","3.635","65.4","15.4","7.7","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","320
006","28","3.643","82.1",".","7.1",".","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"Climate Chng, Sustain, and Ed","Course Total","149","3.736","78.5","10.1","4.0","0.7","4.0",".","2.0",".",".",".",".",".","0.7",".",".","."
"Globalization and Education","335
001","32","3.774","71.9","15.6","3.1","3.1","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"Education across the Americas","342
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
001","27","3.648","51.9","29.6","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","24","3.696","62.5","16.7","12.5",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Topics in Education Studies","Course Total","51","3.670","56.9","23.5","13.7","2.0","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Politics and Education in US","355
001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"History-American Education","412
001","80","3.684","65.0","25.0","1.3","2.5","2.5","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"Education in Emergencies","435
001","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rethinking After School Educ","450
001","26","3.692","73.1","15.4","7.7",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Immigration Education Equity","460
001","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Public Education","542
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Moral Education","550
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","560
002","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Gender and Education","Course Total","30","3.833","83.3","10.0",".","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","600
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sec Data: Appl Quant Analysis","605
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Student Activism","612
001","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Independent Reading","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Qualitative Resch","755
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community-based Spaces","810
001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories-Soc & Ed Change","870
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","9","",".",".",".",".",".",".",".","11.1",".",".",".","88.9",".",".",".","."
"","990
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 100 of 486",""
