"TERM : 1254","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2024-2025","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL AND REGENERATIVE BIOL Section","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRB
Dept. Total
217","337","3.850","71.8","16.6","3.0","",".","0.9","",".","",".","7.1","",".",".","",".","",".","",".",".","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","7","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","16","3.875","87.5","6.3","6.3","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","70","3.969","94.3","2.9","2.9","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","93","3.956","93.5","3.2","3.2","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
"Graduate","241","3.809","64.3","22.0","2.9","",".","1.2","",".","",".","9.1","",".",".","",".","",".","",".",".","0.4","."
"Prof Yr 3","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","337","3.850","71.8","16.6","3.0","",".","0.9","",".","",".","7.1","",".",".","",".","",".","",".",".","0.6","."
