"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","90","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","90","3.511","45.6","17.8","33.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","94","3.410","40.4","21.3","26.6","3.2","8.5",".",".",".",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","94","3.771","73.4","9.6","14.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","19","4.000","31.6",".",".",".",".",".",".","68.4",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","16","4.000","6.3",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","26","4.000","15.4",".",".",".",".",".",".","84.6",".",".",".",".",".",".",".","."
"","670
001","40","4.000","32.5",".",".",".",".",".",".","67.5",".",".",".",".",".",".",".","."
"","670
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","45","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","45","4.000","68.9",".",".",".",".",".",".","31.1",".",".",".",".",".",".",".","."
"","675
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
007","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675
009","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
021","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","94","4.000","92.6",".",".",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"","675
030","90","",".",".",".",".",".",".",".","98.9",".",".",".",".","1.1",".",".","."
"","675
031","95","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
033","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
049","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
055","10","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","446","4.000","29.6",".",".",".",".",".",".","70.2",".",".",".",".","0.2",".",".","."
"","678
001","48","4.000","20.8",".",".",".",".",".",".","79.2",".",".",".",".",".",".",".","."
"","678
002","9","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","57","4.000","24.6",".",".",".",".",".",".","75.4",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","22","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","699
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
074","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","23","4.000","13.0",".",".",".",".",".",".","87.0",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","31","4.000","48.4",".",".",".",".",".",".","51.6",".",".",".",".",".",".",".","."
"","710
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SA Emergency Medicine","Course Total","32","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","714
001","41","4.000","31.7",".",".",".",".",".",".","68.3",".",".",".",".",".",".",".","."
"","714
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Care","Course Total","43","4.000","32.6",".",".",".",".",".",".","67.4",".",".",".",".",".",".",".","."
"SA WisCARES","716
001","29","4.000","89.7",".",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"","775
001","61","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 477 of 486",""
