"PHARMACY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","",""
"Exploring Pharmacy II","126
001","","33","3.939","93.9",".","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Exploration Seminar","225
001","","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Genetics and Immunology","434
001","","127","3.366","37.8","25.2","16.5","13.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Psychedelic History","564
001","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacokinetics","621
001","","124","3.258","22.6","30.6","28.2","14.5","3.2","0.8",".",".",".",".",".",".",".",".",".","."
"","632
002","","20","3.625","55.0","25.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","632
003","","24","3.750","62.5","33.3",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience of Psychedelics","Course Total","","44","3.693","59.1","29.5","4.5","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","28","4.000","89.3",".",".",".",".",".",".",".",".",".",".",".",".",".","10.7","."
"","640
002","","38","3.961","92.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appropriate Use of Abused Drug","Course Total","","66","3.976","90.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"Specialty Pharmacy","658
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychedelics Science Society","671
001","","38","3.853","81.6","5.3",".",".",".",".","2.6",".",".",".",".",".","2.6",".","7.9","."
"CNS Drug Principles II","771
001","","35","3.871","77.1","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","","24","3.896","87.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Bioethics & Sci Integrity","Course Total","","32","3.922","90.6","6.3",".","3.1",".",".",".",".",".",".",".",".",".",".",".","."
