"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542
001","94","3.771","73.4","10.6","13.8","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals Anesthesiology I","543
001","95","3.932","91.6","5.3","2.1",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Surgery Fundamentals","544
001","95","3.989","98.9",".","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals Anesthesiology II","545
001","94","3.894","86.2","7.4","5.3","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631
001","94","3.160","21.3","17.0","45.7","4.3","11.7",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","642
001","37","4.000","18.9",".",".",".",".",".",".","81.1",".",".",".",".",".",".",".","."
"","642
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","40","4.000","22.5",".",".",".",".",".",".","77.5",".",".",".",".",".",".",".","."
"","644
001","18","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","644
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Orthopedic Surgery","Course Total","19","4.000","31.6",".",".",".",".",".",".","68.4",".",".",".",".",".",".",".","."
"","645
001","41","4.000","34.1",".",".",".",".",".",".","65.9",".",".",".",".",".",".",".","."
"","645
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","43","4.000","37.2",".",".",".",".",".",".","62.8",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","37","4.000","56.8",".",".",".",".",".",".","43.2",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","31","4.000","48.4",".",".",".",".",".",".","51.6",".",".",".",".",".",".",".","."
"","675
002","17","4.000","58.8",".",".",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","675
006","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
017","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
026","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
027","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
028","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
030","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","675
032","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","149","4.000","28.2",".",".",".",".",".",".","71.8",".",".",".",".",".",".",".","."
"Special Species Health","676
001","94","3.894","88.3","5.3","4.3","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677
001","51","4.000","96.1",".",".",".",".",".",".","3.9",".",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Special Species Rotation","710
001","19","4.000","52.6",".",".",".",".",".",".","47.4",".",".",".",".",".",".",".","."
"Wildlife Medicine Rotation","711
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"SA Radiation Oncology","714
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741
001","33","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","17","4.000","88.2",".",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
