"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"679
Nrsg Hnrs Rsrch Sem","001","","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","4","***","","","","","","","","","","","","","","","",""
"703","001","","31","3.806","74.2","19.4","3.2",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"703","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Care & Public Policy","Course Total","","35","3.800","74.3","17.1","5.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"713
Hlth Sys Ldrship Practicum II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"714
Adv Health Sys Ldrshp & Innov","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Population Health Practicum II","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"724
Pop Health Theory & Methods II","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"727","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"727","020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"727","060","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"729","020","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"729","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"729","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","24","3.797","83.3","8.3","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"761","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761","004","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Prgm Planning, Eval, QI","Course Total","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Found Curr Dev&Eval-Hlth Prof","003","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
