"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","57","3.877","91.2","5.3",".","1.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"Level II Fieldwork A","662
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Level II Fieldwork B","664
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professnl/Leadership Skills 2","711
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enable Occ 2: Adult Focus","723
001","33","3.818","69.7","24.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level 1 Fieldwork A","726
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living Well 2","732
001","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EBP Lab Practicum","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence Based Practice 2","772
001","33","3.924","90.9","3.0","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Capstone","880
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Project II","882
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doc Experiential Component","883
001","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"OCC THER
695","Dept. Total","353","3.936","80.2","4.0","1.1","0.3",".",".","0.3",".",".","14.2",".",".",".",".",".","."
