"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","40","3.600","42.5","35.0","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Soc Behav Aspects","001","","127","3.870","78.7","18.1","2.4",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"514
Pharmacy Management","001","","93","3.758","64.5","24.7","8.6","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"611
Pharmacy Law and Regulation","001","","95","3.405","30.5","32.6","28.4","6.3","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","95","3.874","76.8","21.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Health Srv Rsch Grant Writing","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
